Date,Product Name,Product Type,Brand,Gender,Category,Country,Quantity,Unit Price ($),Amount ($),Payment Mode,Month
2022-03-09,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,Canada,1,101.32,101.32,UPI,3
2022-07-16,Nike Dunk Low,Tênis,Nike,Masculino,Sportswear,Australia,4,228.88,915.52,Cartão,7
2022-06-15,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,Japan,4,258.6,1034.4,Cartão,6
2022-02-19,Adidas Ultraboost,Tênis,Adidas,Unisex,Streetwear,Australia,4,129.95,519.8,Dinheiro,2
2022-07-06,Adidas Ultraboost,Tênis,Adidas,Feminino,Casual,Germany,5,190.03,950.15,Dinheiro,7
2022-02-01,New Era Cap,Boné,New Era,Unisex,Casual,Canada,1,239.21,239.21,Carteira Digital,2
2022-03-25,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Streetwear,Australia,1,271.18,271.18,Dinheiro,3
2022-02-03,Puma Joggers,Calça desportiva,Puma,Feminino,Streetwear,Japan,5,140.65,703.25,Carteira Digital,2
2022-06-30,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Streetwear,UK,3,97.21,291.63,Dinheiro,6
2022-02-12,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Sportswear,UK,5,110.05,550.25,Cartão,2
2022-07-15,Adidas Ultraboost,Tênis,Adidas,Unisex,Casual,Germany,1,209.13,209.13,Dinheiro,7
2022-02-06,Nike Dunk Low,Tênis,Nike,Feminino,Sportswear,Australia,1,256.81,256.81,Cartão,2
2022-01-20,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Limited Edition,Germany,2,53.05,106.1,Dinheiro,1
2022-04-03,Yeezy Boost 350,Tênis,Adidas,Masculino,Sportswear,UK,4,127.11,508.44,Dinheiro,4
2022-07-02,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Sportswear,Japan,2,259.46,518.92,Carteira Digital,7
2022-03-12,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Casual,UK,2,183.29,366.58,Carteira Digital,3
2022-01-16,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Sportswear,Canada,2,130.4,260.8,Dinheiro,1
2022-03-01,Yeezy Boost 350,Tênis,Adidas,Masculino,Streetwear,Canada,5,112.04,560.2,Carteira Digital,3
2022-02-27,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,Japan,5,85.1,425.5,Dinheiro,2
2022-07-02,Puma Joggers,Calça desportiva,Puma,Unisex,Streetwear,Australia,1,180.65,180.65,Dinheiro,7
2022-02-08,New Era Cap,Boné,New Era,Feminino,Casual,UK,5,147.13,735.65,Carteira Digital,2
2022-01-22,Puma Joggers,Calça desportiva,Puma,Feminino,Limited Edition,Australia,3,110.78,332.34,Dinheiro,1
2022-06-24,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Streetwear,India,5,58.37,291.85,UPI,6
2022-07-23,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Casual,Germany,5,241.67,1208.35,Cartão,7
2022-07-25,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Limited Edition,USA,2,89.67,179.34,UPI,7
2022-05-29,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,Canada,1,132.09,132.09,UPI,5
2022-08-04,New Era Cap,Boné,New Era,Feminino,Casual,Japan,2,202.18,404.36,UPI,8
2022-02-12,Yeezy Boost 350,Tênis,Adidas,Masculino,Casual,UK,3,90.19,270.57,Dinheiro,2
2022-03-01,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Streetwear,USA,2,179.28,358.56,Dinheiro,3
2022-03-23,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Sportswear,USA,5,188.61,943.05,Carteira Digital,3
2022-08-30,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Sportswear,UK,2,111.36,222.72,Cartão,8
2022-02-18,New Era Cap,Boné,New Era,Feminino,Sportswear,UK,3,53.98,161.94,Dinheiro,2
2022-05-28,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,Canada,4,240.64,962.56,Dinheiro,5
2022-02-28,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,USA,5,195.57,977.85,Dinheiro,2
2022-03-09,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Streetwear,Canada,3,224.66,673.98,Dinheiro,3
2022-04-28,Puma Joggers,Calça desportiva,Puma,Feminino,Sportswear,Canada,3,65.2,195.6,Carteira Digital,4
2022-07-13,Adidas Ultraboost,Tênis,Adidas,Feminino,Limited Edition,Canada,4,117.78,471.12,UPI,7
2022-02-09,Jordan 1 High,Tênis,Nike,Feminino,Streetwear,India,4,214.93,859.72,Cartão,2
2022-08-16,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,Japan,2,249.49,498.98,Dinheiro,8
2022-06-13,Yeezy Boost 350,Tênis,Adidas,Masculino,Casual,India,4,141.35,565.4,UPI,6
2022-03-03,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,Japan,3,264.14,792.42,Cartão,3
2022-01-03,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Casual,UK,5,73.58,367.9,UPI,1
2022-07-26,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Streetwear,USA,1,106.59,106.59,Cartão,7
2022-02-12,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Streetwear,Canada,3,59.98,179.94,UPI,2
2022-03-02,Puma Joggers,Calça desportiva,Puma,Feminino,Casual,Japan,3,87.81,263.43,Cartão,3
2022-04-06,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Sportswear,Japan,2,283.6,567.2,UPI,4
2022-08-11,Puma Joggers,Calça desportiva,Puma,Masculino,Limited Edition,Japan,2,194.31,388.62,UPI,8
2022-06-23,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Limited Edition,Japan,4,199.68,798.72,Carteira Digital,6
2022-04-08,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Sportswear,Japan,5,145.47,727.35,Cartão,4
2022-01-31,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Limited Edition,Australia,1,141.11,141.11,UPI,1
2022-04-16,Jordan 1 High,Tênis,Nike,Feminino,Casual,UK,2,188.4,376.8,Cartão,4
2022-03-30,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Limited Edition,Germany,4,145.28,581.12,Cartão,3
2022-07-15,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Australia,2,277.48,554.96,Cartão,7
2022-08-16,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Limited Edition,Japan,4,153.56,614.24,Carteira Digital,8
2022-03-15,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Casual,Japan,2,74.83,149.66,Cartão,3
2022-07-06,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Limited Edition,Germany,1,136.8,136.8,UPI,7
2022-06-26,Yeezy Boost 350,Tênis,Adidas,Unisex,Casual,USA,3,209.69,629.07,Carteira Digital,6
2022-03-18,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,India,3,200.87,602.61,Dinheiro,3
2022-02-04,Puma Joggers,Calça desportiva,Puma,Masculino,Streetwear,Japan,1,221.26,221.26,Cartão,2
2022-01-03,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,USA,5,176.98,884.9,Cartão,1
2022-08-06,New Era Cap,Boné,New Era,Masculino,Casual,UK,5,77.08,385.4,Carteira Digital,8
2022-03-06,Jordan 1 High,Tênis,Nike,Masculino,Casual,Canada,4,239.54,958.16,Carteira Digital,3
2022-03-19,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Streetwear,India,5,179.54,897.7,UPI,3
2022-04-05,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Streetwear,Canada,3,274.23,822.69,Dinheiro,4
2022-03-11,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Limited Edition,India,5,99.89,499.45,Dinheiro,3
2022-04-03,Yeezy Boost 350,Tênis,Adidas,Feminino,Sportswear,UK,4,148.11,592.44,Dinheiro,4
2022-06-30,Jordan 1 High,Tênis,Nike,Unisex,Sportswear,India,5,81.97,409.85,Dinheiro,6
2022-01-09,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,India,3,291.29,873.87,Carteira Digital,1
2022-05-02,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Canada,5,138.95,694.75,UPI,5
2022-01-27,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Japan,4,208.19,832.76,Carteira Digital,1
2022-07-27,Jordan 1 High,Tênis,Nike,Masculino,Limited Edition,India,5,291.7,1458.5,Carteira Digital,7
2022-06-10,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Sportswear,Australia,3,209.89,629.67,UPI,6
2022-05-04,Jordan 1 High,Tênis,Nike,Unisex,Casual,Japan,4,171.49,685.96,Dinheiro,5
2022-01-17,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Casual,Germany,3,156.22,468.66,Carteira Digital,1
2022-06-07,Yeezy Boost 350,Tênis,Adidas,Masculino,Streetwear,Japan,4,158.82,635.28,UPI,6
2022-07-12,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,UK,3,218.91,656.73,Carteira Digital,7
2022-07-27,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Limited Edition,Australia,5,54.88,274.4,Carteira Digital,7
2022-05-08,New Era Cap,Boné,New Era,Feminino,Sportswear,Canada,1,75.27,75.27,Cartão,5
2022-06-12,Puma Joggers,Calça desportiva,Puma,Masculino,Limited Edition,India,1,144.04,144.04,Dinheiro,6
2022-07-26,Jordan 1 High,Tênis,Nike,Masculino,Streetwear,Germany,4,196.45,785.8,UPI,7
2022-01-17,Nike Dunk Low,Tênis,Nike,Masculino,Limited Edition,USA,3,213.66,640.98,Cartão,1
2022-08-16,Yeezy Boost 350,Tênis,Adidas,Masculino,Streetwear,UK,1,164.57,164.57,Dinheiro,8
2022-04-13,Jordan 1 High,Tênis,Nike,Masculino,Casual,Canada,4,203.25,813.0,Carteira Digital,4
2022-05-13,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Sportswear,UK,5,91.11,455.55,Dinheiro,5
2022-02-17,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,USA,3,57.92,173.76,Dinheiro,2
2022-07-31,Jordan 1 High,Tênis,Nike,Feminino,Limited Edition,Japan,3,209.3,627.9,Carteira Digital,7
2022-08-25,Adidas Ultraboost,Tênis,Adidas,Unisex,Casual,Germany,1,112.26,112.26,UPI,8
2022-08-30,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,Canada,2,216.83,433.66,UPI,8
2022-07-21,Puma Joggers,Calça desportiva,Puma,Unisex,Limited Edition,Canada,5,68.52,342.6,UPI,7
2022-08-02,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,Canada,1,98.04,98.04,Dinheiro,8
2022-06-30,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Casual,India,5,204.35,1021.75,Carteira Digital,6
2022-04-10,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,Germany,4,283.7,1134.8,Cartão,4
2022-07-03,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Limited Edition,India,4,172.52,690.08,UPI,7
2022-02-26,Jordan 1 High,Tênis,Nike,Masculino,Limited Edition,USA,3,51.81,155.43,Carteira Digital,2
2022-04-29,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Sportswear,Japan,5,71.28,356.4,Dinheiro,4
2022-02-24,Yeezy Boost 350,Tênis,Adidas,Unisex,Sportswear,Canada,2,248.44,496.88,Dinheiro,2
2022-07-03,Yeezy Boost 350,Tênis,Adidas,Feminino,Sportswear,India,2,107.04,214.08,Cartão,7
2022-08-30,Puma Joggers,Calça desportiva,Puma,Feminino,Sportswear,Australia,1,132.07,132.07,Carteira Digital,8
2022-07-09,Nike Dunk Low,Tênis,Nike,Masculino,Casual,Japan,3,118.37,355.11,Cartão,7
2022-04-18,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Streetwear,Germany,5,243.74,1218.7,Carteira Digital,4
2022-01-16,Nike Dunk Low,Tênis,Nike,Unisex,Limited Edition,Japan,5,150.02,750.1,Dinheiro,1
2022-04-02,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Streetwear,Australia,3,73.31,219.93,Carteira Digital,4
2022-08-25,Puma Joggers,Calça desportiva,Puma,Masculino,Casual,Australia,2,176.24,352.48,Dinheiro,8
2022-05-27,Adidas Ultraboost,Tênis,Adidas,Feminino,Sportswear,UK,5,135.5,677.5,UPI,5
2022-08-18,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Sportswear,Canada,4,250.12,1000.48,Cartão,8
2022-07-03,Yeezy Boost 350,Tênis,Adidas,Feminino,Casual,Australia,4,145.89,583.56,Cartão,7
2022-05-07,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Casual,USA,4,281.54,1126.16,Carteira Digital,5
2022-06-25,Jordan 1 High,Tênis,Nike,Unisex,Casual,Australia,4,121.42,485.68,Cartão,6
2022-06-03,Jordan 1 High,Tênis,Nike,Feminino,Streetwear,India,4,265.91,1063.64,UPI,6
2022-01-25,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Limited Edition,Germany,1,240.42,240.42,Cartão,1
2022-01-08,Adidas Ultraboost,Tênis,Adidas,Feminino,Sportswear,USA,5,275.27,1376.35,Cartão,1
2022-08-09,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Streetwear,India,3,154.79,464.37,Cartão,8
2022-08-13,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Sportswear,India,5,139.0,695.0,UPI,8
2022-06-21,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Streetwear,Australia,3,79.27,237.81,Cartão,6
